problema;  modelo;  lb_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID006_M015_J015; manne; 1243.0; 15; 15; False; nan; 1243.0; nan; 3375; 1801; 1134; 1133; 0; 9900; optimal; 0.02112293243408203; False;  
ID006_M015_J015; liao; 0; 15; 15; False; nan; 935.0; nan; 1800; 3376; 1787; 341; 0; 6750; optimal; 0.00749516487121582; False;  
ID006_M015_J015; liao; 1243.0; 15; 15; False; nan; 1243.0; nan; 1800; 3376; 1787; 344; 0; 6750; optimal; 0.00751805305480957; False;  
ID006_M015_J015; liao_desig; 0; 15; 15; False; nan; 979.4327546182902; nan; 8535; 3376; 2663; 2836; 0; 26295; optimal; 0.09363794326782227; False;  
ID006_M015_J015; liao_desig; 1243.0; 15; 15; False; nan; 1243.0; nan; 8535; 3376; 2615; 2264; 0; 26295; optimal; 0.09227609634399414; False;  
ID007_M015_J015; minla_fav; 0; 15; 15; True; 1180.901515151515; 1181.0; 8.339106560963416e-05; 10110; 1801; 1033; 1014219; 14825; 29445; integer optimal, tolerance; 60.29037094116211; False;  
ID007_M015_J015; minla_fav; 1181.0; 15; 15; True; 1181.0; 1181.0; 0.0; 10110; 1801; 1030; 1155325; 25230; 29445; integer optimal solution; 65.34268498420715; False;  
ID007_M015_J015; manne; 0; 15; 15; True; 1181.0; 1181.0; 0.0; 3375; 1801; 1039; 1524290; 35633; 9900; integer optimal solution; 51.51949191093445; False;  
ID007_M015_J015; manne; 1181.0; 15; 15; True; 1181.0; 1181.0; 0.0; 3375; 1801; 1036; 1200494; 46458; 9900; integer optimal solution; 51.634949922561646; False;  
ID007_M015_J015; liao; 0; 15; 15; True; 1180.8888888888328; 1181.0; 9.408222791468055e-05; 1800; 3376; 2557; 8469206; 41638; 6750; integer optimal, tolerance; 251.97474718093872; False;  
ID007_M015_J015; liao; 1181.0; 15; 15; True; 1181.0000000000007; 1181.0000000000007; 0.0; 1800; 3376; 2552; 28770476; 87001; 6750; integer optimal solution; 1021.3087639808655; False;  
ID007_M015_J015; liao_desig; 0; 15; 15; True; 1181.0; 1181.0; 0.0; 8535; 3376; 2564; 4637060; 21005; 26295; integer optimal solution; 222.4928741455078; False;  
ID007_M015_J015; liao_desig; 1181.0; 15; 15; True; 1181.0; 1181.0; 0.0; 8535; 3376; 2563; 5058090; 27579; 26295; integer optimal solution; 221.0535979270935; False;  
ID007_M015_J015; minla_fav; 0; 15; 15; False; nan; 963.0; nan; 10110; 1801; 1122; 2744; 0; 29445; optimal; 0.08006596565246582; False;  
ID007_M015_J015; minla_fav; 1181.0; 15; 15; False; nan; 1181.0; nan; 10110; 1801; 1043; 2134; 0; 29445; optimal; 0.06187701225280762; False;  
ID007_M015_J015; manne; 0; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 0; 9900; optimal; 0.01665806770324707; False;  
ID007_M015_J015; manne; 1181.0; 15; 15; False; nan; 1181.0; nan; 3375; 1801; 967; 966; 0; 9900; optimal; 0.016650915145874023; False;  
ID007_M015_J015; liao; 0; 15; 15; False; nan; 963.0; nan; 1800; 3376; 1787; 330; 0; 6750; optimal; 0.007596015930175781; False;  
ID007_M015_J015; liao; 1181.0; 15; 15; False; nan; 1181.0; nan; 1800; 3376; 1788; 329; 0; 6750; optimal; 0.007545948028564453; False;  
ID007_M015_J015; liao_desig; 0; 15; 15; False; nan; 963.0; nan; 8535; 3376; 2679; 2551; 0; 26295; optimal; 0.07816386222839355; False;  
ID007_M015_J015; liao_desig; 1181.0; 15; 15; False; nan; 1181.0; nan; 8535; 3376; 2534; 2063; 0; 26295; optimal; 0.05987191200256348; False;  
